Item Code,Item Name,Category Name,net_qty_kg,net_revenue,avg_sell_price,avg_wholesale,loss_rate,loss_adj_margin,discount_share,txn_count
102900011007471,Mint,Flower/Leaf Vegetables,7.568,133.50480000000002,17.89275362318841,10.575072463768116,0.1328,40.5222815498155,0.13043478260869565,69
102900011000335,Round Eggplant,Solanum,7.658,94.53,12.285714285714286,4.456428571428572,0.0032,60.55079654895666,0.0,14
106971563780002,Xianzongye (Bag) (2),Flower/Leaf Vegetables,8.0,39.2,4.9,2.91875,0.0,15.850000000000001,0.0,8
102900011034705,The Fungus Mushroom Hot Pot Package (Bag),Edible Mushroom,8.0,90.10000000000001,11.262500000000001,6.7,0.0943,30.91925582422435,0.625,8
102900011027615,Juhua Youcai,Flower/Leaf Vegetables,8.472,84.72,10.0,6.299999999999999,0.034300000000000004,29.45066169617894,0.0,21
102900011033968,Xixia Black Mushroom (2),Edible Mushroom,9.24,178.0668,19.263636363636365,12.601590909090909,0.0943,49.50459397151375,0.09090909090909091,44
102900011033173,Sophora Japonica,Flower/Leaf Vegetables,9.3,174.0708,19.317073170731707,10.056585365853659,0.168,63.11219423076923,0.0,41
102900011034316,Zhimaxiancai,Flower/Leaf Vegetables,9.381,56.286,6.0,4.21,0.0,16.79199,0.0,27
102900011026793,Apricot Bao Mushroom (250 G),Edible Mushroom,10.0,49.0,4.9,3.0140000000000002,0.0943,15.721872584741085,0.0,10
102900011032114,Water Chestnut (Bag),Aquatic Tuberous Vegetables,10.0,59.0,5.9,3.992,0.0943,14.923595009385004,0.0,10
102900011031841,Agaricus Bisporus (Bag),Edible Mushroom,10.0,79.8,7.9799999999999995,4.228,0.0943,33.1178756762725,0.2,10
102900011026618,Aihao,Flower/Leaf Vegetables,10.512,43.32,4.148148148148148,2.771111111111111,0.09269999999999999,11.15251405268379,0.0,27
102900011035962,Wild Lotus Root (2),Aquatic Tuberous Vegetables,11.398,148.174,13.0,4.1489473684210525,0.0943,95.60037738765595,0.0,19
102900011008515,Miantiaocai,Flower/Leaf Vegetables,12.936,117.8972,9.212698412698412,6.27,0.128,22.526764220183487,0.31746031746031744,63
102900011031759,Red Bell Pepper (Bag),Capsicum,13.0,47.3,3.6384615384615384,2.781538461538461,0.0943,7.375080048581205,0.0,13
